time,x,y,theta
145.042,-0.179,-0.169,0.754
145.272,0.009,-0.134,0.742
145.391,0.016,-0.115,0.746
145.479,0.023,-0.097,0.749
146.638,0.284,0.139,0.437
146.817,0.358,0.335,0.545
146.885,0.346,0.324,0.556
147.079,0.421,0.397,0.537
147.287,0.484,0.432,0.578
147.489,0.546,0.49,0.598
147.591,0.531,0.478,0.604
147.683,0.517,0.465,0.61
147.796,0.503,0.452,0.616
147.892,0.488,0.44,0.622
148.132,0.491,0.445,0.625
148.212,0.477,0.433,0.631
148.488,0.385,0.401,0.629
148.726,0.319,0.36,0.662
149.046,0.222,0.323,0.676
149.29,0.273,0.093,0.784
